gene_id	transcript_id	L01_fpkm	L02_fpkm	L03_fpkm	L04_fpkm	L05_fpkm	L06_fpkm	L07_fpkm	L08_fpkm	L09_fpkm
XLOC_018486	TCONS_00056454	11.060665	12.067777	12.478095	13.332772	12.897038	12.972875	12.593592	12.414858	14.087489
XLOC_018488	TCONS_00056455	11.345546	11.80023	11.419805	11.160768	14.141279	13.315714	8.728166	8.92078	9.029765
XLOC_018495	TCONS_00056459	5.592562	4.950291	4.876707	6.114583	6.826947	4.07941	4.85921	4.59468	4.144928
XLOC_018495	TCONS_00056460	1.636571	2.176877	1.784877	3.549608	2.206388	2.433892	3.158281	3.620267	2.213993
XLOC_018497	TCONS_00056461	15.132337	13.458405	14.513728	16.152742	15.041409	14.116448	19.111715	16.843033	17.175732
XLOC_018497	TCONS_00056462	13.84443	14.930297	14.323851	18.257978	17.330849	13.578558	15.313049	18.013577	16.505461
XLOC_018500	TCONS_00056464	5.908154	4.623971	5.318563	5.038366	5.871754	5.556114	6.398965	5.904168	6.574405
XLOC_018501	TCONS_00056469	3.572057	2.651562	2.98152	3.588825	3.900632	3.183918	2.677523	2.745518	2.184028
XLOC_018501	TCONS_00056470	4.869362	4.609428	5.025329	5.568514	4.802326	4.864518	5.836537	5.933846	6.085932
XLOC_018502	TCONS_00056471	4.31915	1.512314	1.228424	3.182501	0.993179	4.161659	2.816014	3.43797	0.032854
XLOC_018504	TCONS_00056473	1.491992	1.431649	1.822214	1.316218	0.837724	1.540817	1.006048	1.23731	1.14397
XLOC_018506	TCONS_00056475	14.948431	15.005059	16.151712	13.068646	14.322635	14.786346	16.047312	16.515387	16.006926
XLOC_018506	TCONS_00056476	2.390178	1.119339	1.276715	2.030331	1.487857	1.257735	0.961552	1.748144	0.86149
XLOC_018508	TCONS_00056477	13.436911	12.884069	14.217016	16.450583	7.417046	13.180613	10.095905	10.883743	9.078415
XLOC_018511	TCONS_00056483	27.209593	25.619329	28.399134	30.265257	29.185045	27.269814	25.240089	24.670408	24.014212
XLOC_018513	TCONS_00056486	3.459223	4.182512	3.516306	3.811014	5.778039	6.073281	6.18099	6.304204	6.293584
XLOC_018516	TCONS_00056488	14.097407	13.589257	15.181779	14.664123	14.602129	14.131011	14.398646	13.526642	13.762928
XLOC_018517	TCONS_00056489	76.182182	71.716385	74.228096	76.988716	73.417526	70.140221	86.049576	81.723366	80.830299
XLOC_018518	TCONS_00056490	2.407311	1.852571	2.209228	2.264693	2.001349	1.846288	2.457621	2.221066	2.336508
XLOC_018519	TCONS_00056491	50.979649	69.359207	69.32428	90.922005	97.33522	96.254829	75.373474	45.675194	64.761238
XLOC_018527	TCONS_00056500	12.846033	11.837094	12.479541	12.765622	13.386132	12.590189	2.644276	3.393852	3.007367
XLOC_018529	TCONS_00056501	33.504131	18.522081	35.780323	35.892117	19.821365	32.778614	25.152725	25.740936	26.000847
XLOC_018532	TCONS_00056503	36.175713	35.07373	38.164379	38.768814	39.569946	37.505508	33.421146	31.108927	33.908894
XLOC_018537	TCONS_00056508	1.303796	1.608416	1.524963	1.869734	5.427163	2.21772	1.695653	0.019799	1.522918
XLOC_018540	TCONS_00056513	6.133337	6.006708	4.313994	6.639891	6.557608	7.160352	5.507026	5.546569	4.4538
XLOC_018541	TCONS_00056515	7.061511	3.097661	6.738391	4.678386	1.968143	4.733264	3.377179	3.363322	6.595641
XLOC_018543	TCONS_00056518	2.778809	10.578773	2.696043	10.241512	0.863287	18.101179	9.830394	0	0
XLOC_018543	TCONS_00056519	17.182407	0	16.32126	0	3.537513	0	5.261902	14.910663	11.516088
XLOC_018550	TCONS_00056525	26.924339	26.042009	26.683447	26.952326	25.514687	25.414831	29.999744	28.9235	27.86854
XLOC_018551	TCONS_00056526	2.293225	0.264058	0.888936	0.980718	1.056237	3.102078	1.308627	1.630115	1.183677
XLOC_018552	TCONS_00056527	22.45756	22.027662	0	0	0.003448	0	15.324484	15.203891	16.243736
XLOC_018559	TCONS_00056530	67.616211	65.338776	63.53318	64.893188	59.515816	63.711693	89.184364	85.96331	82.157623
XLOC_018562	TCONS_00056534	2.097714	3.811276	1.508009	0	0	0	1.998082	0	0
XLOC_018562	TCONS_00056535	3.654593	0.718439	4.469789	4.490551	5.03788	6.041951	2.767442	4.864017	2.3778
XLOC_018562	TCONS_00056536	2.090218	1.81403	1.541562	2.33019	1.726257	1.683541	1.968117	1.432534	1.749543
XLOC_018563	TCONS_00056537	2.996353	4.907782	0.384884	1.011951	3.684663	2.897169	0.840052	1.223643	1.326254
XLOC_018566	TCONS_00056541	51.18071	53.242489	51.720085	51.577839	50.14135	50.849857	49.703449	52.256081	61.536819
XLOC_018566	TCONS_00056542	19.239536	14.702234	13.81054	12.212857	13.336638	9.824378	18.517063	11.569671	0.069458
XLOC_018567	TCONS_00056543	11.785513	16.759197	17.200224	17.790556	16.168825	15.548667	16.935061	16.904215	15.919029
XLOC_018567	TCONS_00056544	2.612532	0.317484	0.132101	2.733366	1.462795	2.102556	0.09836	0.553711	0.212575
XLOC_018568	TCONS_00056546	3.821254	4.014762	3.031027	3.129183	2.708688	3.999542	4.260682	5.059697	2.704565
XLOC_018569	TCONS_00056547	0.165789	0.005442	0.081971	0.096429	0.779032	0.456731	0.385964	4.80352	4.130306
XLOC_018569	TCONS_00056548	2.227413	1.75516	1.795121	1.614274	0.704278	1.897381	2.319735	0.675164	1.063255
XLOC_018569	TCONS_00056549	2.037978	4.169184	1.612294	1.540261	2.343919	2.236147	2.121072	1.005225	1.166669
XLOC_018570	TCONS_00056551	2.330886	1.53939	0.002288	0.004239	1.740191	0.041252	0.929142	2.151953	0.408541
XLOC_018570	TCONS_00056565	2.11605	2.779125	2.628621	1.863571	3.315396	3.031538	1.283633	2.594538	1.624287
XLOC_018573	TCONS_00056571	2.3566	0.87519	1.319981	1.899113	1.690744	1.33051	2.585021	1.776678	1.958768
XLOC_018574	TCONS_00056574	8.159083	11.154438	27.401648	11.354242	26.557056	29.785265	29.515457	28.408243	12.010137
XLOC_018574	TCONS_00056575	26.152039	23.686369	7.127795	25.32935	7.176384	5.859203	8.303911	7.688626	23.804903
XLOC_018576	TCONS_00056576	14.766977	14.013054	14.731122	12.663761	13.916572	13.560976	67.521194	67.281631	70.089195
XLOC_018577	TCONS_00056577	73.26918	73.075851	78.084175	44.649734	46.062813	42.201797	146.672501	140.942093	140.585999
XLOC_018579	TCONS_00056579	9.297812	8.562773	6.413462	7.456161	7.893577	7.095537	8.820433	11.050632	8.386802
XLOC_018579	TCONS_00056580	0.669645	2.672314	5.316344	2.907086	1.266263	2.688811	3.043073	0.499225	4.075164
XLOC_018579	TCONS_00056582	186.493073	197.912369	195.929199	228.214905	239.387375	215.99942	210.84964	202.342239	236.394394
XLOC_018584	TCONS_00056584	11.493484	10.287731	10.132354	11.010441	10.248593	9.635831	10.911565	11.319028	10.613738
XLOC_018585	TCONS_00056585	3.921321	3.335199	3.588473	3.884496	3.453465	3.496311	4.167759	4.156488	4.561514
XLOC_018594	TCONS_00056588	55.487339	57.192791	60.437241	61.728645	54.86414	62.338085	60.155579	59.213566	61.541512
XLOC_018596	TCONS_00056590	5.198259	5.632024	9.74593	8.38481	9.809588	9.708586	4.824505	8.156037	8.797434
XLOC_018598	TCONS_00056592	31.689592	33.284309	32.528168	29.814425	30.150206	28.691957	34.897552	34.073547	34.414261
XLOC_018600	TCONS_00056594	21.718088	22.582151	22.841597	23.758965	22.638466	22.006388	10.731039	10.905231	11.834626
XLOC_018603	TCONS_00056596	4.04682	3.738841	3.288073	3.73164	3.428004	3.625567	3.848032	3.461257	3.29364
XLOC_018605	TCONS_00056597	2.981717	2.929697	2.25308	1.155561	1.364514	1.639693	11.144138	9.987278	9.204476
XLOC_018606	TCONS_00056598	39.64505	41.683685	44.74099	39.333881	38.656464	38.135056	47.025898	42.265602	45.966091
XLOC_018612	TCONS_00056599	3.971612	3.892938	3.548664	2.50213	2.933094	2.81254	2.825398	3.553864	2.810539
XLOC_018614	TCONS_00056601	27.304056	28.78084	27.311308	23.946156	23.115133	25.44442	35.507458	33.199989	34.278088
XLOC_018615	TCONS_00056602	4.414194	3.052938	4.197515	1.924027	3.543622	2.621301	2.390347	1.429457	1.824302
XLOC_018616	TCONS_00056603	4.279791	4.329186	1.498105	4.76889	3.041383	4.279633	2.935271	3.978239	3.622881
XLOC_018620	TCONS_00056608	22.874969	23.333965	22.550123	24.717691	23.940699	24.288	27.090519	23.846403	24.731842
XLOC_018621	TCONS_00056609	26.696033	26.787836	30.885454	20.336039	21.659925	23.035286	31.255056	25.697344	28.418591
XLOC_018623	TCONS_00056610	5.437141	5.258602	5.331928	5.229854	5.000707	4.537478	6.037004	5.423793	5.807785
XLOC_018625	TCONS_00056617	2.223635	2.140805	1.905488	2.022089	1.701332	1.932134	3.589957	3.043164	2.499843
XLOC_018626	TCONS_00056618	1.752186	1.569323	1.632685	0.851636	1.097824	1.316461	0.917682	1.139838	0.84321
XLOC_018628	TCONS_00056622	5.617591	5.044676	4.737483	6.726629	7.025239	6.728708	4.73509	5.475307	3.914163
XLOC_018632	TCONS_00056626	4.747821	4.197829	4.549639	5.559758	6.68857	6.909559	5.556389	5.273453	4.156733
XLOC_018633	TCONS_00056628	0.34497	1.410411	2.641683	1.651434	1.173934	1.141006	0.477837	0.834956	1.37149
XLOC_018635	TCONS_00056629	1.230233	1.587836	0.803115	1.429881	0.93664	1.080689	1.411939	1.097178	1.588134
